epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6727.87,0.76393,1.03082,1.25289,0.99168,0.9838,0.9937,0.97472,0.19921,0.15488,0.76437,0.007228,0.007228,0.007228
44,6884.38,0.76372,1.02267,1.25056,0.99196,0.98259,0.99333,0.97491,0.19754,0.15348,0.76392,0.007162,0.007162,0.007162
45,7040.38,0.7664,1.02471,1.25212,0.99005,0.98629,0.99372,0.97555,0.1971,0.15327,0.76436,0.007096,0.007096,0.007096
46,7196.3,0.76139,1.022,1.25034,0.99262,0.98404,0.99401,0.97512,0.19602,0.15027,0.76325,0.00703,0.00703,0.00703
47,7352.45,0.76898,1.03071,1.25581,0.99309,0.98476,0.99393,0.97649,0.19389,0.14694,0.76241,0.006964,0.006964,0.006964
48,7509.81,0.76913,1.02777,1.25763,0.9939,0.98541,0.99397,0.97585,0.19456,0.14656,0.763,0.006898,0.006898,0.006898
49,7666.25,0.7659,1.02946,1.25755,0.99347,0.98501,0.99414,0.97568,0.19571,0.14808,0.76272,0.006832,0.006832,0.006832
50,7822.37,0.76268,1.02201,1.25228,0.99149,0.98627,0.99412,0.97589,0.1951,0.1468,0.76222,0.006766,0.006766,0.006766
51,7978.1,0.74569,0.99767,1.2386,0.99198,0.98675,0.99419,0.97566,0.19312,0.14446,0.7617,0.0067,0.0067,0.0067
52,8134.86,0.75794,1.01843,1.2477,0.99462,0.98355,0.99427,0.97559,0.19315,0.14441,0.76183,0.006634,0.006634,0.006634
53,8291.15,0.74644,1.00411,1.24174,0.99423,0.98549,0.99423,0.97545,0.19308,0.14397,0.76242,0.006568,0.006568,0.006568
54,8448.23,0.75899,1.02071,1.25263,0.99198,0.98664,0.99398,0.97662,0.19335,0.14336,0.76291,0.006502,0.006502,0.006502
55,8605.3,0.75702,1.00506,1.24374,0.99185,0.98718,0.99419,0.97714,0.19131,0.14138,0.76239,0.006436,0.006436,0.006436
56,8760.97,0.75593,1.00958,1.24622,0.99141,0.98742,0.99419,0.97798,0.19031,0.14004,0.76159,0.00637,0.00637,0.00637
57,8916.49,0.75075,0.99941,1.24449,0.99078,0.98745,0.99404,0.97725,0.1899,0.13983,0.76106,0.006304,0.006304,0.006304
58,9072.86,0.75315,1.01103,1.24846,0.9915,0.98678,0.99407,0.97734,0.18971,0.13923,0.76067,0.006238,0.006238,0.006238
59,9229.31,0.75449,1.01177,1.24798,0.99197,0.98742,0.99406,0.97783,0.18895,0.13928,0.75993,0.006172,0.006172,0.006172
60,9385.65,0.75448,1.00316,1.24644,0.99245,0.98533,0.99388,0.97752,0.18843,0.1383,0.75977,0.006106,0.006106,0.006106
61,9541.56,0.74843,0.99791,1.24109,0.99218,0.98646,0.99392,0.97771,0.18763,0.13705,0.75981,0.00604,0.00604,0.00604
62,9698.61,0.74406,0.99883,1.24182,0.9939,0.98512,0.99415,0.97785,0.18747,0.13631,0.75972,0.005974,0.005974,0.005974
63,9855.56,0.75485,1.01061,1.25224,0.9939,0.98573,0.99416,0.97804,0.18717,0.13675,0.75946,0.005908,0.005908,0.005908
64,10011.9,0.74508,0.99854,1.24227,0.99039,0.9896,0.99414,0.97792,0.18694,0.13527,0.75877,0.005842,0.005842,0.005842
